day,category,total_households,total_couponed,total_non_couponed,coupon_rate,without_coupon_rate
349,syrups,1013,22,1031,2.09,97.91
245,syrups,1012,15,1028,1.44,98.56
71,syrups,1011,40,1011,3.81,96.19
713,syrups,1011,15,1037,1.43,98.57
92,syrups,1009,24,1031,2.27,97.73
545,syrups,1006,31,1032,2.92,97.08
139,syrups,1004,38,1014,3.61,96.39
7,syrups,1004,7,1041,0.67,99.33
687,syrups,1001,41,996,3.95,96.05
225,syrups,1000,28,1002,2.72,97.28
228,syrups,1000,27,1009,2.61,97.39
145,syrups,999,43,1004,4.11,95.89
273,syrups,999,17,1031,1.62,98.38
294,syrups,999,12,1032,1.15,98.85
323,syrups,998,12,1025,1.16,98.84
400,syrups,997,35,1002,3.38,96.62
265,syrups,997,10,1032,0.96,99.04
454,syrups,996,11,1032,1.05,98.95
288,syrups,996,8,1020,0.78,99.22
513,syrups,995,17,1030,1.62,98.38
144,syrups,994,54,1001,5.12,94.88
98,syrups,994,19,1006,1.85,98.15
508,syrups,990,29,1006,2.80,97.20
480,syrups,988,16,1029,1.53,98.47
424,syrups,987,45,975,4.41,95.59
329,syrups,987,26,1002,2.53,97.47
559,pancake mixes,987,6,999,0.60,99.40
498,syrups,985,33,988,3.23,96.77
399,syrups,985,20,1000,1.96,98.04
414,syrups,985,19,1015,1.84,98.16
686,syrups,984,11,1009,1.08,98.92
125,syrups,983,38,1015,3.61,96.39
132,pasta sauce,980,43,1110,3.73,96.27
365,syrups,980,15,1001,1.48,98.52
43,syrups,974,32,984,3.15,96.85
379,syrups,973,28,980,2.78,97.22
371,syrups,973,7,1001,0.69,99.31
475,syrups,970,25,991,2.46,97.54
118,syrups,969,23,994,2.26,97.74
506,syrups,969,15,1011,1.46,98.54
252,syrups,968,16,983,1.60,98.40
622,syrups,967,17,987,1.69,98.31
190,syrups,966,26,970,2.61,97.39
291,syrups,964,24,995,2.36,97.64
280,syrups,964,11,988,1.10,98.90
343,syrups,963,31,956,3.14,96.86
587,syrups,960,35,951,3.55,96.45
708,syrups,960,22,975,2.21,97.79
485,syrups,960,20,992,1.98,98.02
64,syrups,959,44,955,4.40,95.60
509,syrups,959,23,996,2.26,97.74
680,syrups,957,12,990,1.20,98.80
167,syrups,952,42,953,4.22,95.78
503,syrups,952,36,976,3.56,96.44
672,syrups,952,10,977,1.01,98.99
169,syrups,950,63,926,6.37,93.63
597,syrups,949,29,965,2.92,97.08
532,syrups,949,11,983,1.11,98.89
302,syrups,949,8,979,0.81,99.19
202,syrups,947,25,958,2.54,97.46
496,pasta sauce,946,34,1091,3.02,96.98
281,syrups,944,11,963,1.13,98.87
412,syrups,942,23,959,2.34,97.66
514,syrups,936,19,962,1.94,98.06
123,syrups,935,53,948,5.29,94.71
573,syrups,935,36,942,3.68,96.32
20,syrups,935,18,953,1.85,98.15
164,syrups,934,54,927,5.50,94.50
150,syrups,934,40,942,4.07,95.93
650,syrups,934,21,951,2.16,97.84
417,syrups,931,24,933,2.51,97.49
624,syrups,928,36,930,3.73,96.27
478,syrups,927,22,950,2.26,97.74
322,syrups,926,6,950,0.63,99.37
529,syrups,924,33,928,3.43,96.57
538,syrups,924,16,940,1.67,98.33
681,syrups,923,15,950,1.55,98.45
274,syrups,921,10,930,1.06,98.94
539,pancake mixes,920,6,953,0.63,99.37
566,syrups,919,24,939,2.49,97.51
685,syrups,919,14,950,1.45,98.55
188,syrups,917,19,940,1.98,98.02
678,syrups,916,22,930,2.31,97.69
701,syrups,916,18,937,1.88,98.12
316,syrups,914,8,937,0.85,99.15
44,syrups,913,29,918,3.06,96.94
258,syrups,913,22,927,2.32,97.68
184,syrups,911,37,907,3.92,96.08
205,syrups,910,18,917,1.93,98.07
308,syrups,910,14,930,1.48,98.52
181,syrups,909,41,894,4.39,95.61
407,syrups,909,15,922,1.60,98.40
142,syrups,907,46,911,4.81,95.19
13,syrups,907,8,942,0.84,99.16
253,syrups,906,20,925,2.12,97.88
134,syrups,905,41,897,4.37,95.63
548,syrups,905,29,903,3.11,96.89
497,syrups,904,26,923,2.74,97.26
426,syrups,903,31,908,3.30,96.70
160,syrups,901,34,912,3.59,96.41
723,syrups,901,15,925,1.60,98.40
216,syrups,901,9,923,0.97,99.03
124,syrups,900,40,929,4.13,95.87
372,syrups,900,12,919,1.29,98.71
209,syrups,900,7,935,0.74,99.26
419,syrups,899,22,911,2.36,97.64
571,syrups,896,51,890,5.42,94.58
552,syrups,896,33,907,3.51,96.49
488,syrups,895,23,916,2.45,97.55
344,syrups,894,31,890,3.37,96.63
363,syrups,893,12,914,1.30,98.70
600,syrups,892,24,907,2.58,97.42
1,syrups,892,5,918,0.54,99.46
83,syrups,889,29,901,3.12,96.88
133,syrups,887,34,898,3.65,96.35
223,syrups,887,27,908,2.89,97.11
174,syrups,884,37,883,4.02,95.98
195,syrups,884,20,903,2.17,97.83
191,syrups,884,17,893,1.87,98.13
391,syrups,883,14,907,1.52,98.48
8,syrups,880,7,898,0.77,99.23
337,syrups,878,22,880,2.44,97.56
440,syrups,877,26,883,2.86,97.14
55,syrups,875,37,872,4.07,95.93
720,syrups,875,12,889,1.33,98.67
161,syrups,871,28,883,3.07,96.93
598,syrups,871,23,882,2.54,97.46
608,syrups,868,29,875,3.21,96.79
221,syrups,868,24,891,2.62,97.38
309,syrups,866,10,884,1.12,98.88
706,syrups,863,25,859,2.83,97.17
76,syrups,862,41,856,4.57,95.43
534,syrups,862,23,865,2.59,97.41
692,syrups,858,29,875,3.21,96.79
230,syrups,858,22,873,2.46,97.54
233,syrups,855,39,845,4.41,95.59
481,syrups,854,25,871,2.79,97.21
317,syrups,853,8,881,0.90,99.10
578,syrups,850,43,839,4.88,95.12
657,syrups,850,19,876,2.12,97.88
659,syrups,850,7,872,0.80,99.20
690,syrups,849,36,859,4.02,95.98
486,syrups,849,24,868,2.69,97.31
222,syrups,849,16,875,1.80,98.20
314,syrups,849,14,868,1.59,98.41
507,syrups,848,23,860,2.60,97.40
16,syrups,847,18,857,2.06,97.94
356,syrups,843,10,860,1.15,98.85
267,syrups,841,7,858,0.81,99.19
614,syrups,839,18,850,2.07,97.93
461,syrups,838,29,852,3.29,96.71
583,syrups,837,28,834,3.25,96.75
541,syrups,837,15,856,1.72,98.28
111,syrups,836,22,854,2.51,97.49
447,syrups,836,15,861,1.71,98.29
166,syrups,835,47,822,5.41,94.59
585,syrups,835,35,828,4.06,95.94
179,syrups,834,64,811,7.31,92.69
468,syrups,834,29,839,3.34,96.66
727,syrups,833,16,844,1.86,98.14
163,syrups,831,44,814,5.13,94.87
90,syrups,830,33,833,3.81,96.19
572,syrups,830,31,837,3.57,96.43
636,syrups,830,21,847,2.42,97.58
594,syrups,829,27,838,3.12,96.88
629,syrups,829,21,841,2.44,97.56
347,syrups,828,45,825,5.17,94.83
699,syrups,827,21,838,2.44,97.56
579,syrups,825,21,849,2.41,97.59
324,syrups,825,14,842,1.64,98.36
121,syrups,823,33,842,3.77,96.23
558,syrups,823,26,836,3.02,96.98
207,syrups,823,15,834,1.77,98.23
286,syrups,823,10,840,1.18,98.82
117,syrups,822,22,854,2.51,97.49
450,syrups,822,15,839,1.76,98.24
143,syrups,821,40,820,4.65,95.35
422,syrups,821,34,826,3.95,96.05
716,syrups,821,12,855,1.38,98.62
41,syrups,819,33,828,3.83,96.17
237,syrups,819,25,826,2.94,97.06
352,syrups,818,19,834,2.23,97.77
177,syrups,817,63,790,7.39,92.61
351,syrups,817,18,819,2.15,97.85
107,syrups,817,15,839,1.76,98.24
173,syrups,815,32,817,3.77,96.23
452,syrups,815,28,823,3.29,96.71
702,syrups,814,19,836,2.22,97.78
170,syrups,811,43,798,5.11,94.89
69,syrups,810,39,814,4.57,95.43
471,syrups,809,19,826,2.25,97.75
643,syrups,809,17,834,2.00,98.00
604,syrups,808,22,821,2.61,97.39
527,syrups,808,16,824,1.90,98.10
584,syrups,805,31,813,3.67,96.33
384,syrups,804,19,825,2.25,97.75
214,syrups,803,19,821,2.26,97.74
295,syrups,803,3,837,0.36,99.64
135,syrups,802,45,791,5.38,94.62
725,syrups,802,29,803,3.49,96.51
114,syrups,801,24,804,2.90,97.10
606,syrups,800,52,780,6.25,93.75
557,syrups,800,43,805,5.07,94.93
116,syrups,800,34,811,4.02,95.98
664,syrups,800,16,815,1.93,98.07
425,syrups,799,33,793,4.00,96.00
361,syrups,799,19,814,2.28,97.72
457,syrups,797,18,809,2.18,97.82
162,syrups,795,40,786,4.84,95.16
617,syrups,794,15,809,1.82,98.18
684,syrups,794,12,835,1.42,98.58
226,syrups,793,17,801,2.08,97.92
27,syrups,792,59,768,7.13,92.87
590,syrups,792,27,801,3.26,96.74
359,syrups,792,24,809,2.88,97.12
634,syrups,790,26,805,3.13,96.87
555,syrups,790,23,794,2.82,97.18
543,syrups,790,22,798,2.68,97.32
331,syrups,790,16,813,1.93,98.07
51,syrups,789,35,790,4.24,95.76
726,syrups,789,17,811,2.05,97.95
660,syrups,788,12,803,1.47,98.53
535,syrups,787,15,812,1.81,98.19
97,syrups,786,18,801,2.20,97.80
474,syrups,786,16,819,1.92,98.08
342,syrups,785,29,780,3.58,96.42
704,syrups,785,28,775,3.49,96.51
641,syrups,785,25,796,3.05,96.95
328,syrups,785,19,799,2.32,97.68
88,syrups,784,50,759,6.18,93.82
171,syrups,784,50,760,6.17,93.83
613,syrups,783,45,761,5.58,94.42
362,syrups,783,21,792,2.58,97.42
695,syrups,783,18,795,2.21,97.79
6,syrups,783,4,805,0.49,99.51
537,syrups,781,22,774,2.76,97.24
321,syrups,781,6,808,0.74,99.26
186,syrups,779,43,768,5.30,94.70
453,syrups,779,22,803,2.67,97.33
335,syrups,779,20,785,2.48,97.52
697,syrups,776,34,770,4.23,95.77
115,syrups,776,25,778,3.11,96.89
479,syrups,776,12,796,1.49,98.51
611,syrups,774,28,772,3.50,96.50
370,syrups,774,10,793,1.25,98.75
264,syrups,774,7,800,0.87,99.13
377,syrups,773,4,816,0.49,99.51
550,syrups,771,61,745,7.57,92.43
646,syrups,771,26,763,3.30,96.70
261,syrups,771,11,787,1.38,98.62
418,syrups,771,10,791,1.25,98.75
524,pancake mixes,771,9,784,1.13,98.87
569,syrups,770,33,779,4.06,95.94
607,syrups,770,23,778,2.87,97.13
23,syrups,770,20,784,2.49,97.51
499,syrups,770,18,782,2.25,97.75
48,syrups,769,14,783,1.76,98.24
719,syrups,767,18,773,2.28,97.72
586,syrups,767,15,786,1.87,98.13
348,syrups,767,12,773,1.53,98.47
25,syrups,766,27,768,3.40,96.60
565,syrups,766,21,782,2.62,97.38
671,syrups,766,8,778,1.02,98.98
212,syrups,766,6,778,0.77,99.23
632,syrups,764,24,772,3.02,96.98
429,syrups,762,17,767,2.17,97.83
53,syrups,761,44,752,5.53,94.47
526,syrups,761,17,779,2.14,97.86
711,syrups,760,56,736,7.07,92.93
459,syrups,760,17,773,2.15,97.85
416,syrups,760,14,785,1.75,98.25
180,syrups,759,31,753,3.95,96.05
433,syrups,759,21,766,2.67,97.33
387,syrups,759,12,776,1.52,98.48
289,syrups,758,11,787,1.38,98.62
235,syrups,757,46,741,5.84,94.16
104,syrups,757,23,771,2.90,97.10
398,syrups,757,11,783,1.39,98.61
688,syrups,756,23,761,2.93,97.07
257,syrups,754,12,772,1.53,98.47
268,syrups,754,6,773,0.77,99.23
553,pancake mixes,753,7,771,0.90,99.10
81,syrups,752,31,759,3.92,96.08
219,syrups,750,18,769,2.29,97.71
605,syrups,749,33,741,4.26,95.74
635,syrups,749,25,762,3.18,96.82
628,syrups,749,14,770,1.79,98.21
705,syrups,748,17,749,2.22,97.78
279,syrups,748,12,768,1.54,98.46
380,syrups,747,17,753,2.21,97.79
389,syrups,747,12,763,1.55,98.45
4,syrups,747,9,765,1.16,98.84
618,syrups,746,27,742,3.51,96.49
326,syrups,746,20,750,2.60,97.40
653,syrups,745,23,749,2.98,97.02
62,syrups,745,20,750,2.60,97.40
270,syrups,743,18,762,2.31,97.69
132,syrups,742,37,738,4.77,95.23
612,syrups,742,27,742,3.51,96.49
712,syrups,742,27,749,3.48,96.52
333,syrups,742,23,745,2.99,97.01
244,syrups,742,22,750,2.85,97.15
724,syrups,741,15,753,1.95,98.05
187,syrups,740,21,746,2.74,97.26
531,pancake mixes,739,34,732,4.44,95.56
570,syrups,739,28,747,3.61,96.39
625,syrups,739,15,758,1.94,98.06
691,syrups,738,22,744,2.87,97.13
528,syrups,738,14,749,1.83,98.17
198,syrups,737,12,754,1.57,98.43
79,syrups,736,14,753,1.83,98.17
30,syrups,735,19,744,2.49,97.51
110,syrups,734,24,737,3.15,96.85
438,syrups,734,22,741,2.88,97.12
460,syrups,733,24,739,3.15,96.85
443,syrups,733,19,742,2.50,97.50
82,syrups,732,26,736,3.41,96.59
247,syrups,732,17,738,2.25,97.75
602,pancake mixes,732,8,760,1.04,98.96
100,syrups,731,16,742,2.11,97.89
275,syrups,729,10,740,1.33,98.67
411,syrups,728,18,746,2.36,97.64
240,syrups,728,17,737,2.25,97.75
436,syrups,728,15,743,1.98,98.02
689,syrups,727,28,736,3.66,96.34
251,syrups,727,12,742,1.59,98.41
34,syrups,725,27,729,3.57,96.43
236,syrups,725,22,729,2.93,97.07
698,syrups,725,21,731,2.79,97.21
58,syrups,725,20,742,2.62,97.38
394,syrups,725,11,743,1.46,98.54
562,syrups,724,20,730,2.67,97.33
26,syrups,723,37,720,4.89,95.11
345,syrups,723,29,723,3.86,96.14
75,syrups,723,17,742,2.24,97.76
206,syrups,723,11,748,1.45,98.55
472,syrups,722,15,738,1.99,98.01
502,syrups,722,14,742,1.85,98.15
158,pancake mixes,721,8,733,1.08,98.92
122,syrups,720,41,709,5.47,94.53
576,syrups,720,26,734,3.42,96.58
556,syrups,720,23,721,3.09,96.91
390,syrups,719,13,740,1.73,98.27
677,syrups,718,17,731,2.27,97.73
639,syrups,716,12,728,1.62,98.38
648,syrups,715,45,698,6.06,93.94
577,syrups,715,29,717,3.89,96.11
93,syrups,714,35,704,4.74,95.26
662,syrups,714,24,725,3.20,96.80
213,syrups,712,8,738,1.07,98.93
703,syrups,711,16,723,2.17,97.83
563,syrups,711,11,729,1.49,98.51
523,pancake mixes,711,9,721,1.23,98.77
542,syrups,710,17,729,2.28,97.72
54,syrups,708,19,713,2.60,97.40
401,syrups,707,15,716,2.05,97.95
262,syrups,707,14,732,1.88,98.12
12,syrups,707,7,731,0.95,99.05
86,syrups,706,22,719,2.97,97.03
353,syrups,706,19,711,2.60,97.40
325,syrups,706,16,712,2.20,97.80
194,syrups,706,13,724,1.76,98.24
340,syrups,705,19,711,2.60,97.40
633,syrups,705,14,716,1.92,98.08
199,syrups,703,14,715,1.92,98.08
549,syrups,702,22,697,3.06,96.94
405,syrups,702,9,707,1.26,98.74
293,syrups,702,8,721,1.10,98.90
717,syrups,702,6,730,0.82,99.18
300,syrups,702,6,722,0.82,99.18
593,syrups,701,19,710,2.61,97.39
431,syrups,700,31,693,4.28,95.72
89,syrups,700,29,700,3.98,96.02
215,syrups,700,9,706,1.26,98.74
2,syrups,699,3,720,0.41,99.59
103,syrups,698,21,709,2.88,97.12
709,syrups,698,15,704,2.09,97.91
451,syrups,698,9,720,1.23,98.77
642,syrups,697,10,722,1.37,98.63
551,syrups,696,34,682,4.75,95.25
464,syrups,695,20,700,2.78,97.22
256,syrups,695,19,707,2.62,97.38
208,syrups,695,18,700,2.51,97.49
19,syrups,694,15,707,2.08,97.92
355,syrups,694,14,706,1.94,98.06
536,pancake mixes,694,13,715,1.79,98.21
522,pancake mixes,693,19,689,2.68,97.32
544,syrups,693,19,709,2.61,97.39
366,syrups,693,9,708,1.26,98.74
67,syrups,692,38,678,5.31,94.69
272,syrups,692,13,691,1.85,98.15
307,syrups,692,6,708,0.84,99.16
667,syrups,691,13,702,1.82,98.18
383,syrups,690,23,698,3.19,96.81
369,syrups,690,13,706,1.81,98.19
193,syrups,690,12,711,1.66,98.34
313,syrups,690,8,715,1.11,98.89
591,syrups,689,15,711,2.07,97.93
254,syrups,689,14,702,1.96,98.04
656,syrups,689,14,699,1.96,98.04
296,syrups,688,5,708,0.70,99.30
299,syrups,688,5,714,0.70,99.30
72,syrups,685,34,678,4.78,95.22
466,syrups,685,18,689,2.55,97.45
234,syrups,684,33,673,4.67,95.33
496,syrups,684,14,703,1.95,98.05
37,syrups,683,21,690,2.95,97.05
32,syrups,683,21,690,2.95,97.05
17,syrups,683,21,694,2.94,97.06
318,syrups,683,1,707,0.14,99.86
661,syrups,682,14,690,1.99,98.01
674,syrups,682,10,703,1.40,98.60
102,syrups,681,24,684,3.39,96.61
249,syrups,681,17,682,2.43,97.57
682,syrups,681,9,692,1.28,98.72
52,syrups,680,32,677,4.51,95.49
282,syrups,680,9,690,1.29,98.71
87,syrups,679,27,686,3.79,96.21
676,syrups,679,19,690,2.68,97.32
220,syrups,679,17,700,2.37,97.63
368,syrups,679,13,698,1.83,98.17
24,syrups,678,15,688,2.13,97.87
444,syrups,678,12,691,1.71,98.29
65,syrups,676,27,666,3.90,96.10
423,syrups,675,36,666,5.13,94.87
136,syrups,674,35,675,4.93,95.07
338,syrups,674,18,679,2.58,97.42
408,syrups,674,16,673,2.32,97.68
388,syrups,673,11,688,1.57,98.43
303,syrups,673,7,692,1.00,99.00
327,syrups,672,14,682,2.01,97.99
373,syrups,672,4,696,0.57,99.43
11,syrups,671,13,685,1.86,98.14
538,pancake mixes,671,3,710,0.42,99.58
446,syrups,670,21,676,3.01,96.99
334,syrups,670,19,679,2.72,97.28
381,syrups,670,11,690,1.57,98.43
39,syrups,668,34,660,4.90,95.10
201,syrups,668,13,683,1.87,98.13
192,syrups,667,18,675,2.60,97.40
710,syrups,667,17,679,2.44,97.56
320,syrups,667,7,672,1.03,98.97
696,syrups,666,26,673,3.72,96.28
458,syrups,666,11,682,1.59,98.41
229,syrups,665,23,664,3.35,96.65
45,syrups,665,14,678,2.02,97.98
601,pancake mixes,665,9,699,1.27,98.73
185,syrups,664,20,663,2.93,97.07
60,syrups,664,18,676,2.59,97.41
649,syrups,664,17,674,2.46,97.54
332,syrups,664,10,686,1.44,98.56
108,syrups,663,14,676,2.03,97.97
439,syrups,662,16,679,2.30,97.70
101,syrups,661,12,685,1.72,98.28
9,syrups,661,4,683,0.58,99.42
432,syrups,660,16,665,2.35,97.65
68,syrups,659,36,645,5.29,94.71
396,syrups,659,15,657,2.23,97.77
305,syrups,659,9,672,1.32,98.68
669,syrups,658,16,669,2.34,97.66
298,syrups,658,8,683,1.16,98.84
203,pancake mixes,657,7,665,1.04,98.96
271,syrups,656,12,667,1.77,98.23
306,syrups,656,10,673,1.46,98.54
623,pancake mixes,656,6,672,0.88,99.12
297,syrups,656,4,683,0.58,99.42
277,syrups,655,17,665,2.49,97.51
375,syrups,655,3,679,0.44,99.56
80,syrups,653,24,647,3.58,96.42
61,syrups,653,16,658,2.37,97.63
210,pancake mixes,653,13,658,1.94,98.06
241,syrups,652,25,659,3.65,96.35
360,syrups,651,15,664,2.21,97.79
131,syrups,650,25,664,3.63,96.37
467,syrups,650,18,668,2.62,97.38
95,syrups,649,20,646,3.00,97.00
178,syrups,646,25,641,3.75,96.25
341,syrups,646,16,664,2.35,97.65
10,syrups,645,2,659,0.30,99.70
647,syrups,644,25,642,3.75,96.25
651,pancake mixes,644,12,653,1.80,98.20
495,syrups,643,10,663,1.49,98.51
654,syrups,643,9,657,1.35,98.65
580,syrups,642,26,647,3.86,96.14
40,syrups,642,21,647,3.14,96.86
560,pancake mixes,639,3,645,0.46,99.54
500,syrups,638,29,642,4.32,95.68
395,syrups,636,13,646,1.97,98.03
33,syrups,636,10,656,1.50,98.50
588,pancake mixes,636,2,653,0.31,99.69
5,syrups,635,5,662,0.75,99.25
437,syrups,634,17,642,2.58,97.42
312,syrups,634,13,640,1.99,98.01
626,syrups,633,21,641,3.17,96.83
285,syrups,633,13,651,1.96,98.04
640,syrups,633,9,654,1.36,98.64
248,syrups,632,10,646,1.52,98.48
250,syrups,632,8,647,1.22,98.78
269,syrups,631,9,647,1.37,98.63
376,syrups,629,3,652,0.46,99.54
278,syrups,628,6,639,0.93,99.07
196,pancake mixes,626,5,637,0.78,99.22
567,pancake mixes,626,2,642,0.31,99.69
242,syrups,623,20,620,3.13,96.88
339,syrups,623,18,630,2.78,97.22
621,syrups,621,19,615,3.00,97.00
243,syrups,621,18,621,2.82,97.18
59,syrups,621,16,625,2.50,97.50
96,syrups,621,15,630,2.33,97.67
227,syrups,621,15,637,2.30,97.70
290,syrups,620,6,636,0.93,99.07
675,syrups,619,4,643,0.62,99.38
670,syrups,618,8,640,1.23,98.77
596,pancake mixes,617,13,633,2.01,97.99
310,syrups,616,4,636,0.63,99.38
663,syrups,614,4,633,0.63,99.37
403,syrups,613,16,622,2.51,97.49
47,syrups,612,17,615,2.69,97.31
3,syrups,612,2,637,0.31,99.69
511,pancake mixes,610,15,607,2.41,97.59
292,syrups,610,11,619,1.75,98.25
430,syrups,609,17,622,2.66,97.34
138,syrups,606,30,673,4.27,95.73
546,pancake mixes,606,4,620,0.64,99.36
311,syrups,606,3,631,0.47,99.53
175,pancake mixes,605,3,615,0.49,99.51
581,pancake mixes,604,3,620,0.48,99.52
367,syrups,603,4,625,0.64,99.36
465,syrups,602,12,613,1.92,98.08
374,syrups,602,3,616,0.48,99.52
346,syrups,601,28,601,4.45,95.55
397,syrups,600,14,613,2.23,97.77
255,syrups,600,10,619,1.59,98.41
157,pancake mixes,600,9,605,1.47,98.53
73,syrups,595,27,589,4.38,95.62
284,syrups,594,13,607,2.10,97.90
165,pancake mixes,593,8,596,1.32,98.68
574,pancake mixes,590,4,599,0.66,99.34
189,pancake mixes,584,8,590,1.34,98.66
31,syrups,583,16,587,2.65,97.35
402,syrups,583,15,587,2.49,97.51
147,pancake mixes,583,13,576,2.21,97.79
409,syrups,582,12,594,1.98,98.02
404,syrups,582,11,599,1.80,98.20
668,syrups,582,9,591,1.50,98.50
599,pancake mixes,581,17,603,2.74,97.26
518,pancake mixes,577,8,589,1.34,98.66
476,pancake mixes,576,6,587,1.01,98.99
533,pancake mixes,576,6,595,1.00,99.00
182,pancake mixes,575,10,571,1.72,98.28
304,syrups,575,9,585,1.52,98.48
620,syrups,573,39,553,6.59,93.41
94,syrups,573,13,577,2.20,97.80
66,syrups,572,24,568,4.05,95.95
168,pancake mixes,570,3,575,0.52,99.48
448,pancake mixes,567,8,570,1.38,98.62
276,syrups,567,1,591,0.17,99.83
483,pancake mixes,566,3,587,0.51,99.49
494,pancake mixes,564,16,559,2.78,97.22
619,syrups,564,16,564,2.76,97.24
609,pancake mixes,564,11,569,1.90,98.10
283,syrups,563,8,579,1.36,98.64
521,pancake mixes,562,10,567,1.73,98.27
595,pancake mixes,562,1,573,0.17,99.83
204,pancake mixes,561,10,568,1.73,98.27
575,pancake mixes,558,3,574,0.52,99.48
519,pancake mixes,555,11,564,1.91,98.09
616,pancake mixes,551,3,560,0.53,99.47
504,pancake mixes,548,10,554,1.77,98.23
728,pancake mixes,546,4,548,0.72,99.28
534,pancake mixes,545,3,571,0.52,99.48
38,syrups,544,19,547,3.36,96.64
224,pancake mixes,542,6,552,1.08,98.92
537,pancake mixes,538,1,577,0.17,99.83
238,pancake mixes,536,23,533,4.14,95.86
714,pancake mixes,535,7,545,1.27,98.73
154,pancake mixes,534,15,529,2.76,97.24
231,pancake mixes,534,4,548,0.72,99.28
21,pancake mixes,533,12,531,2.21,97.79
140,pancake mixes,533,9,534,1.66,98.34
449,pancake mixes,533,8,536,1.47,98.53
490,pancake mixes,531,39,512,7.08,92.92
455,pancake mixes,531,8,534,1.48,98.52
14,pancake mixes,529,4,529,0.75,99.25
721,pancake mixes,528,7,537,1.29,98.71
217,pancake mixes,525,4,543,0.73,99.27
176,pancake mixes,523,6,527,1.13,98.87
540,pancake mixes,522,4,533,0.74,99.26
644,pancake mixes,520,9,523,1.69,98.31
413,pancake mixes,519,16,513,3.02,96.98
600,pancake mixes,514,7,535,1.29,98.71
665,pancake mixes,513,0,527,0.00,100.00
722,pancake mixes,512,5,524,0.95,99.05
70,pancake mixes,509,26,494,5.00,95.00
15,pancake mixes,506,17,497,3.31,96.69
350,pancake mixes,505,0,515,0.00,100.00
420,pancake mixes,504,12,503,2.33,97.67
112,pancake mixes,504,10,507,1.93,98.07
700,pancake mixes,504,8,508,1.55,98.45
392,pancake mixes,503,20,497,3.87,96.13
694,pancake mixes,503,10,506,1.94,98.06
693,pancake mixes,500,13,496,2.55,97.45
197,pancake mixes,500,9,503,1.76,98.24
582,pancake mixes,500,2,513,0.39,99.61
130,pancake mixes,499,8,501,1.57,98.43
441,pancake mixes,499,8,505,1.56,98.44
119,pancake mixes,499,5,503,0.98,99.02
491,pancake mixes,496,28,477,5.54,94.46
603,pancake mixes,494,13,498,2.54,97.46
597,pancake mixes,494,13,504,2.51,97.49
126,pancake mixes,494,12,493,2.38,97.62
232,pancake mixes,493,19,498,3.68,96.32
385,pancake mixes,491,28,470,5.62,94.38
547,pancake mixes,491,3,500,0.60,99.40
84,pancake mixes,490,12,493,2.38,97.62
56,pancake mixes,488,4,488,0.81,99.19
378,pancake mixes,488,0,492,0.00,100.00
266,pancake mixes,487,11,491,2.19,97.81
658,pancake mixes,487,3,496,0.60,99.40
630,pancake mixes,485,9,487,1.81,98.19
211,pancake mixes,485,4,499,0.80,99.20
568,pancake mixes,485,0,499,0.00,100.00
484,pancake mixes,484,32,469,6.39,93.61
530,pancake mixes,484,20,479,4.01,95.99
364,pancake mixes,484,0,495,0.00,100.00
49,pancake mixes,483,8,485,1.62,98.38
462,pancake mixes,483,8,489,1.61,98.39
561,pancake mixes,483,1,491,0.20,99.80
183,pancake mixes,482,11,483,2.23,97.77
679,pancake mixes,482,1,495,0.20,99.80
28,pancake mixes,479,31,457,6.35,93.65
77,pancake mixes,478,17,473,3.47,96.53
406,pancake mixes,477,13,475,2.66,97.34
99,pancake mixes,477,12,474,2.47,97.53
156,pancake mixes,476,10,475,2.06,97.94
167,pancake mixes,476,8,485,1.62,98.38
357,pancake mixes,476,0,485,0.00,100.00
113,pancake mixes,474,9,480,1.84,98.16
566,pancake mixes,474,3,488,0.61,99.39
707,pancake mixes,473,14,469,2.90,97.10
22,pancake mixes,473,13,469,2.70,97.30
129,pancake mixes,473,12,477,2.45,97.55
386,pancake mixes,472,16,469,3.30,96.70
610,pancake mixes,472,14,474,2.87,97.13
42,pancake mixes,472,5,475,1.04,98.96
155,pancake mixes,471,13,466,2.71,97.29
35,pancake mixes,471,10,472,2.07,97.93
469,pancake mixes,470,13,465,2.72,97.28
687,pancake mixes,470,13,465,2.72,97.28
686,pancake mixes,470,1,475,0.21,99.79
598,pancake mixes,464,10,473,2.07,97.93
18,pancake mixes,461,19,455,4.01,95.99
91,pancake mixes,459,16,452,3.42,96.58
713,pancake mixes,459,9,461,1.91,98.09
637,pancake mixes,459,7,459,1.50,98.50
715,pancake mixes,459,5,466,1.06,98.94
336,pancake mixes,459,2,464,0.43,99.57
78,pancake mixes,457,18,448,3.86,96.14
202,pancake mixes,457,7,463,1.49,98.51
532,pancake mixes,456,4,472,0.84,99.16
7,pancake mixes,456,2,461,0.43,99.57
127,pancake mixes,455,10,460,2.13,97.87
57,pancake mixes,455,7,461,1.50,98.50
589,pancake mixes,455,1,468,0.21,99.79
239,pancake mixes,454,17,453,3.62,96.38
685,pancake mixes,454,3,464,0.64,99.36
477,pancake mixes,454,1,470,0.21,99.79
120,pancake mixes,453,12,450,2.60,97.40
535,pancake mixes,453,1,470,0.21,99.79
294,pancake mixes,452,4,453,0.88,99.12
36,pancake mixes,452,3,460,0.65,99.35
322,pancake mixes,449,1,461,0.22,99.78
718,pancake mixes,448,17,445,3.68,96.32
