day,category,total_households,total_couponed,total_non_couponed,coupon_rate,without_coupon_rate
242,pasta sauce,1837,48,2351,2.00,98.00
318,pasta sauce,1835,26,2185,1.18,98.82
174,pasta sauce,1835,17,2148,0.79,99.21
277,pasta sauce,1828,107,2117,4.81,95.19
403,pasta sauce,1827,47,2108,2.18,97.82
419,pasta sauce,1827,35,2221,1.55,98.45
352,pasta sauce,1827,5,2197,0.23,99.77
157,pasta sauce,1826,36,2122,1.67,98.33
532,pasta sauce,1826,4,2288,0.17,99.83
202,pasta sauce,1825,26,2122,1.21,98.79
198,pasta sauce,1824,26,2152,1.19,98.81
139,pasta sauce,1822,52,2139,2.37,97.63
332,pasta sauce,1822,11,2191,0.50,99.50
621,pasta sauce,1820,88,2130,3.97,96.03
447,pasta sauce,1819,74,2207,3.24,96.76
108,pasta sauce,1818,73,2211,3.20,96.80
454,pasta sauce,1818,68,2169,3.04,96.96
692,pasta sauce,1818,26,2251,1.14,98.86
492,pasta sauce,1817,44,2134,2.02,97.98
11,pasta sauce,1816,28,2122,1.30,98.70
156,pasta sauce,1813,47,2096,2.19,97.81
90,pasta sauce,1810,55,2315,2.32,97.68
326,pasta sauce,1810,42,2121,1.94,98.06
409,pasta sauce,1809,30,2156,1.37,98.63
641,pasta sauce,1806,85,2135,3.83,96.17
626,pasta sauce,1806,69,2186,3.06,96.94
458,pasta sauce,1804,101,2166,4.46,95.54
518,syrups,1804,48,1851,2.53,97.47
710,pasta sauce,1804,8,2185,0.36,99.64
433,pasta sauce,1802,113,2047,5.23,94.77
502,pasta sauce,1800,44,2157,2.00,98.00
696,pasta sauce,1799,12,2197,0.54,99.46
62,pasta sauce,1796,120,2209,5.15,94.85
199,pasta sauce,1796,34,2170,1.54,98.46
566,pasta sauce,1794,61,2184,2.72,97.28
593,pasta sauce,1794,33,2203,1.48,98.52
256,pasta sauce,1793,22,2142,1.02,98.98
685,pasta sauce,1793,21,2175,0.96,99.04
691,pasta sauce,1793,21,2189,0.95,99.05
333,pasta sauce,1793,19,2227,0.85,99.15
52,pasta sauce,1792,63,2150,2.85,97.15
227,pasta sauce,1792,5,2167,0.23,99.77
664,pasta sauce,1791,31,2205,1.39,98.61
572,pasta sauce,1790,27,2193,1.22,98.78
510,pasta sauce,1789,34,2148,1.56,98.44
66,pasta sauce,1787,69,2133,3.13,96.87
315,pasta sauce,1787,59,2088,2.75,97.25
571,pasta sauce,1787,29,2166,1.32,98.68
629,pasta sauce,1785,109,2115,4.90,95.10
286,pasta sauce,1785,84,2135,3.79,96.21
67,pasta sauce,1782,109,2077,4.99,95.01
466,pasta sauce,1781,78,2144,3.51,96.49
3,pasta sauce,1781,42,2078,1.98,98.02
128,pasta sauce,1780,69,1980,3.37,96.63
446,pasta sauce,1780,73,2153,3.28,96.72
193,pasta sauce,1780,51,2223,2.24,97.76
283,pasta sauce,1780,47,2106,2.18,97.82
514,pasta sauce,1780,30,2120,1.40,98.60
40,pasta sauce,1777,208,1921,9.77,90.23
41,pasta sauce,1776,195,2023,8.79,91.21
143,pasta sauce,1776,28,2085,1.33,98.67
69,pasta sauce,1775,108,2079,4.94,95.06
310,pasta sauce,1773,38,2087,1.79,98.21
347,pasta sauce,1770,29,2118,1.35,98.65
430,pasta sauce,1769,89,2083,4.10,95.90
453,pasta sauce,1769,51,2161,2.31,97.69
668,pasta sauce,1767,27,2150,1.24,98.76
573,pasta sauce,1765,27,2113,1.26,98.74
192,pasta sauce,1764,25,2244,1.10,98.90
194,pasta sauce,1763,41,2188,1.84,98.16
486,pasta sauce,1762,62,2083,2.89,97.11
156,syrups,1761,46,1854,2.42,97.58
503,pasta sauce,1760,77,2077,3.57,96.43
257,pasta sauce,1758,26,2080,1.23,98.77
276,pasta sauce,1757,62,2085,2.89,97.11
216,pasta sauce,1757,33,2040,1.59,98.41
255,pasta sauce,1756,19,2106,0.89,99.11
418,pasta sauce,1755,35,2110,1.63,98.37
89,pasta sauce,1754,47,2245,2.05,97.95
136,pasta sauce,1751,30,2049,1.44,98.56
657,pasta sauce,1750,32,2164,1.46,98.54
38,pasta sauce,1748,156,1964,7.36,92.64
317,pasta sauce,1747,50,2044,2.39,97.61
360,pasta sauce,1746,4,2096,0.19,99.81
146,pasta sauce,1745,47,2052,2.24,97.76
248,pasta sauce,1745,15,2153,0.69,99.31
340,pasta sauce,1744,26,2112,1.22,98.78
617,pasta sauce,1742,53,2092,2.47,97.53
251,pasta sauce,1742,33,2187,1.49,98.51
656,pasta sauce,1742,22,2161,1.01,98.99
297,pasta sauce,1741,43,2040,2.06,97.94
594,pasta sauce,1741,34,2106,1.59,98.41
636,pasta sauce,1740,121,2034,5.61,94.39
258,pasta sauce,1740,26,2096,1.23,98.77
209,pasta sauce,1737,26,2082,1.23,98.77
244,pasta sauce,1736,42,2184,1.89,98.11
711,pasta sauce,1734,12,2080,0.57,99.43
465,pasta sauce,1731,67,2074,3.13,96.87
215,pasta sauce,1731,29,2068,1.38,98.62
509,pasta sauce,1730,44,2054,2.10,97.90
517,pasta sauce,1729,46,2057,2.19,97.81
290,pasta sauce,1728,54,2099,2.51,97.49
669,pasta sauce,1728,24,2116,1.12,98.88
223,pasta sauce,1728,19,2059,0.91,99.09
348,pasta sauce,1725,12,2087,0.57,99.43
580,pasta,1724,1,2149,0.05,99.95
295,pasta sauce,1723,46,2075,2.17,97.83
460,pasta sauce,1720,92,2073,4.25,95.75
284,pasta sauce,1718,94,1983,4.53,95.47
349,pasta sauce,1718,11,2072,0.53,99.47
635,pasta sauce,1712,73,2062,3.42,96.58
32,pasta sauce,1711,53,1962,2.63,97.37
676,pasta sauce,1710,37,2033,1.79,98.21
670,pasta sauce,1710,14,2069,0.67,99.33
614,pasta sauce,1708,94,1970,4.55,95.45
619,pasta sauce,1704,54,2028,2.59,97.41
374,pasta sauce,1704,28,2012,1.37,98.63
31,pasta sauce,1703,36,2002,1.77,98.23
620,pasta sauce,1702,99,2047,4.61,95.39
299,pasta sauce,1701,56,2033,2.68,97.32
491,syrups,1701,36,1777,1.99,98.01
671,pasta sauce,1701,28,2097,1.32,98.68
402,pasta sauce,1700,38,1996,1.87,98.13
101,pasta sauce,1700,35,2080,1.65,98.35
411,pasta sauce,1700,26,2028,1.27,98.73
355,pasta sauce,1700,2,2049,0.10,99.90
110,pasta sauce,1697,79,1983,3.83,96.17
680,pasta sauce,1696,12,2063,0.58,99.42
48,pasta sauce,1695,79,1986,3.83,96.17
468,pasta sauce,1693,97,2037,4.55,95.45
298,pasta sauce,1691,76,1965,3.72,96.28
95,pasta sauce,1691,45,1997,2.20,97.80
490,syrups,1691,35,1756,1.95,98.05
4,pasta sauce,1690,42,1972,2.09,97.91
675,pasta sauce,1690,13,2031,0.64,99.36
237,pasta sauce,1689,10,2083,0.48,99.52
12,pasta sauce,1688,29,2003,1.43,98.57
220,pasta sauce,1688,14,2005,0.69,99.31
236,pasta sauce,1687,6,2080,0.29,99.71
698,pasta sauce,1684,8,2087,0.38,99.62
398,pasta sauce,1683,46,1970,2.28,97.72
73,pasta sauce,1682,55,1953,2.74,97.26
432,pasta sauce,1679,106,1942,5.18,94.82
397,pasta sauce,1677,46,1983,2.27,97.73
467,pasta sauce,1676,73,2073,3.40,96.60
265,pasta sauce,1676,24,1999,1.19,98.81
111,pasta sauce,1674,106,1970,5.11,94.89
339,pasta sauce,1674,8,2042,0.39,99.61
145,pasta sauce,1671,40,1974,1.99,98.01
699,pasta sauce,1671,11,2045,0.54,99.46
361,pasta sauce,1671,8,2006,0.40,99.60
47,pasta sauce,1670,71,2014,3.41,96.59
55,pasta sauce,1665,65,1975,3.19,96.81
367,pasta sauce,1665,4,1963,0.20,99.80
493,pasta sauce,1661,52,1900,2.66,97.34
516,pasta sauce,1661,44,1974,2.18,97.82
10,pasta sauce,1661,22,1954,1.11,98.89
663,pasta sauce,1659,21,2040,1.02,98.98
201,pasta sauce,1658,35,1995,1.72,98.28
368,pasta sauce,1658,3,1939,0.15,99.85
316,pasta sauce,1657,53,1939,2.66,97.34
103,pasta sauce,1654,54,2022,2.60,97.40
405,pasta sauce,1650,43,1953,2.15,97.85
375,pasta sauce,1647,68,1929,3.41,96.59
262,pasta sauce,1645,13,2012,0.64,99.36
678,pasta sauce,1644,21,1987,1.05,98.95
250,pasta sauce,1642,27,2040,1.31,98.69
363,pasta sauce,1639,8,1932,0.41,99.59
279,pasta sauce,1637,97,1899,4.86,95.14
102,pasta sauce,1636,78,1990,3.77,96.23
208,pasta sauce,1635,25,1952,1.26,98.74
404,pasta sauce,1634,27,1954,1.36,98.64
519,syrups,1631,29,1694,1.68,98.32
94,pasta sauce,1629,39,1940,1.97,98.03
267,pasta sauce,1627,18,1930,0.92,99.08
150,pasta sauce,1626,41,1895,2.12,97.88
115,pasta sauce,1625,72,1872,3.70,96.30
377,pasta sauce,1625,49,1888,2.53,97.47
116,pasta sauce,1622,97,1841,5.01,94.99
487,pasta sauce,1622,76,1876,3.89,96.11
75,pasta sauce,1622,64,1912,3.24,96.76
128,syrups,1620,47,1683,2.72,97.28
230,pasta sauce,1619,11,1981,0.55,99.45
292,pasta sauce,1618,58,1953,2.88,97.12
712,pasta sauce,1617,11,1931,0.57,99.43
68,pasta sauce,1616,74,1896,3.76,96.24
497,pasta sauce,1613,47,1862,2.46,97.54
362,pasta sauce,1613,3,1962,0.15,99.85
492,syrups,1612,32,1693,1.86,98.14
320,pasta sauce,1610,34,1911,1.75,98.25
346,pasta sauce,1603,17,1932,0.87,99.13
524,pasta sauce,1601,18,1944,0.92,99.08
152,pasta sauce,1599,29,1864,1.53,98.47
526,pasta sauce,1595,21,1890,1.10,98.90
342,pasta sauce,1595,15,1957,0.76,99.24
76,pasta sauce,1593,58,1914,2.94,97.06
677,pasta sauce,1591,18,1892,0.94,99.06
321,pasta sauce,1589,42,1878,2.19,97.81
369,pasta sauce,1589,9,1890,0.47,99.53
312,pasta sauce,1587,65,1863,3.37,96.63
334,pasta sauce,1587,15,1920,0.78,99.22
161,pasta sauce,1585,39,1846,2.07,97.93
154,syrups,1584,55,1612,3.30,96.70
461,pasta sauce,1583,83,1887,4.21,95.79
271,pasta sauce,1580,24,1866,1.27,98.73
314,pasta sauce,1579,53,1826,2.82,97.18
123,pasta sauce,1575,74,1748,4.06,95.94
118,pasta sauce,1574,79,1842,4.11,95.89
264,pasta sauce,1573,18,1899,0.94,99.06
278,pasta sauce,1570,55,1853,2.88,97.12
147,syrups,1568,65,1595,3.92,96.08
33,pasta sauce,1568,32,1857,1.69,98.31
6,pasta sauce,1568,26,1831,1.40,98.60
285,pasta sauce,1565,56,1877,2.90,97.10
494,pasta sauce,1564,56,1856,2.93,97.07
327,pasta sauce,1564,41,1878,2.14,97.86
132,pasta,1563,18,1737,1.03,98.97
341,pasta sauce,1562,13,1913,0.67,99.33
97,pasta sauce,1561,38,1840,2.02,97.98
335,pasta sauce,1561,19,1897,0.99,99.01
229,pasta sauce,1560,11,1849,0.59,99.41
151,pasta sauce,1559,43,1792,2.34,97.66
370,pasta sauce,1559,10,1837,0.54,99.46
483,syrups,1554,41,1577,2.53,97.47
356,pasta sauce,1553,7,1869,0.37,99.63
328,pasta sauce,1550,39,1857,2.06,97.94
311,pasta sauce,1548,28,1859,1.48,98.52
158,pasta sauce,1545,22,1831,1.19,98.81
54,pasta sauce,1541,66,1823,3.49,96.51
488,pasta sauce,1536,45,1825,2.41,97.59
489,pasta sauce,1527,57,1760,3.14,96.86
104,pasta sauce,1525,62,1834,3.27,96.73
153,pasta sauce,1525,35,1754,1.96,98.04
127,syrups,1520,68,1546,4.21,95.79
