commodity,category_shoppers,penetration_percent
pancake mixes,130542,25.6
pancake mixes,130542,25.6
syrups,256476,50.3
syrups,256476,50.3
pasta sauce,362234,71.04
pasta sauce,362234,71.04
pasta,411356,80.67
pasta,411356,80.67
