category,total_households,switchers,switch_rate,loyal_households,brand_loyalty,total_first_coupon_users,retained_without_coupon,retention_rate_percent
pancake mixes,130542,27739,21.25,102803,78.75,2769,534,19.28
pasta,411356,223480,54.33,187876,45.67,5639,2245,39.81
pasta sauce,362234,170169,46.98,192065,53.02,13600,6060,44.56
syrups,256476,90276,35.2,166200,64.8,9551,2095,21.93
,,,,,, , , 
