commodity,shopper_type,num_households,avg_coupon_usage_percent,,,,,
pancake mixes,Loyalist,102803,1.63,,,,,
pancake mixes,Switcher,27739,2.35,,,,,
pasta,Loyalist,187876,0.33,,,,,
pasta,Switcher,223480,0.71,,,,,
pasta sauce,Loyalist,192065,1.71,,,,,
pasta sauce,Switcher,170169,2.77,,,,,
syrups,Loyalist,166200,1.98,,,,,
syrups,Switcher,90276,3.08,,,,,
